RoadID,RoadName,CountyID,TownName,RoadClass,RoadClassName,Version,UpdateDate
600003A,一心路,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600008A,三民圓環,A,松山區,6,市區一般道路,23.05.1,2018-09-28
600009A,三民路,A,松山區,6,市區一般道路,23.05.1,2018-09-28
600012A,三重路,A,南港區,6,市區一般道路,23.05.1,2018-09-28
600013A,下崙路,A,文山區,6,市區一般道路,23.05.1,2018-09-28
600018A,中坡北路,A,信義區,6,市區一般道路,23.05.1,2018-09-28
600019A,中坡南路,A,信義區,6,市區一般道路,23.05.1,2018-09-28
600020A,中央北路一段,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600021A,中央北路二段,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600022A,中央北路三段,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600023A,中央北路四段,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600024A,中央南路一段,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600025A,中央南路二段,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600026A,中山北路一段,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600027A,中山北路二段,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600028A,中山北路三段,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600029A,中山北路四段,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600030A,中山北路五段,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600031A,中山北路六段,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600032A,中山北路七段,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600033A,中山北路圓環,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600034A,中山南路,A,中正區,6,市區一般道路,23.05.1,2018-09-28
600035A,中山路,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600036A,中崙路,A,文山區,6,市區一般道路,23.05.1,2018-09-28
600037A,中庸一路,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600038A,中庸二路,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600039A,中庸五路,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600043A,中正路,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600044A,中社路一段,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600045A,中社路二段,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600046A,中興大橋引道,A,萬華區,6,市區一般道路,23.05.1,2018-09-28
