Id,Type,Road,Introduction,Session,Direction,Limit,Latitude, Longitude
1,測速,環河北路3段,葫蘆街,士林,南向北,50,25.0824971,121.5074856
2,測速,仰德大道2段,115巷口,士林,下山方向,40,25.1081595,121.5460777
3,測速及大貨車於禁行時段行駛,仰德大道4段,75號前(格致中學前),士林,上下山雙向,40,25.1321782,121.5465226
4,測速,承德路4段,百齡高中前,士林,南向北,50,25.0865642,121.5230636
5,闖紅燈,中正路,與基河路口,士林,西向東,50,25.0931733,121.5198084
6,闖紅燈,中正路,重慶北路口,士林,西向東,50,25.087002,121.5111699
7,闖紅燈,中正路,士商路口,士林,東向西,50,25.0926274,121.5188186
8,闖紅燈,中山北路5段,378巷(消防隊),士林,南向北,50,25.0900738,121.5275919
9,測速,仰德大道2段,29巷口,士林,下山方向,40,25.1039792,121.5425336
10,測速,環河北路2段,近敦煌路,大同,北向南,60,25.0791128,121.5082128
11,測速,承德路4段,通河街,士林,北向南,50,25.0804605,121.5223761
12,測速,承德路3段,敦煌路,大同,南北雙向,50,25.0745078,121.5199588
13,闖紅燈,承德路2段,錦西街口,大同,北向南,50,25.0604752,121.5183373
14,測速(兼闖紅燈),台北橋機車道下橋,民權西路  延平北路,大同,西向東,50,25.0628106,121.5108825
17,測速,辛亥路3段,157巷(下北二高),大安,東向西,50,25.0172704,121.5487531
18,測速,新生南路,金華街口,大安,北向南,50,25.0302761,121.5336686
19,測速,和平東路1段,國立師範大學前,大安,西向東,50,25.0267614,121.5267674
20,測速,建國南路2段,179號往北,大安,南向北,50,25.0277159,121.5379363
21,測速,市民大道3段,214號前,大安,西向東,40,25.0444779,121.5400747
22,測速,基隆路3段,長興街,大安,南向北,50,25.0166775,121.5436825
23,測速,建國高架道,和平東路上方,大安,北向南,70,25.0261461,121.5376298
24,測速,新生南路3段,58號台大側門,大安,南向北,50,25.0200293,121.5340689
25,闖紅燈,辛亥路2段,台大語文中心(快車道),大安,西向東,50,25.0212567,121.5409294
26,闖紅燈,辛亥路2段,復興南路口,大安,西向東,50,25.0210819,121.542876
27,闖紅燈,和平東路3段,228巷,大安,西向東,50,25.0226476,121.5544567
28,闖紅燈,敦化南路2段,和平東路,大安,北向南,50,25.0249229,121.5487763
31,測速,復興北路,車行地下道北出口處,中山,南向北,25.0718063,121.544239
32,測速,樂群一路,基湖路口西向東天橋下(金泰公園),中山,西向東,50,25.0766012,121.5663745
33,測速,明水路,325號,中山,東西雙向,50,25.0775726,121.5407419
35,測速,北安路,海軍司令部前,中山,東西雙向,50,25.0779445,121.5362919
36,闖紅燈,民權東路,建國北路口,中山,南向北,50,25.0619899,121.537272
37,闖紅燈,民生東路3段,遼寧街口（台北大學前）,中山,西向東,50,25.0577243,121.5418427
38,闖紅燈,北安路,明水路（劍南路口前端）,中山,東向西,50,25.0775674,121.5408422
40,闖紅燈,建國北路1段,長安東路口,中山,南向北,50,25.0481086,121.5368459
41,闖紅燈,復興北路,民生東路,中山,北向南,50,25.0581456,121.5440571
42,闖紅燈,中山北路2段,民生西路,中山,北向南,50,25.0583641,121.5227465
43,闖紅燈,中山北路2段,長春路口,中山,南向北,50,25.054689,121.5227429
44,闖紅燈,松江路,農安街口,中山,南向北,50,25.0644535,121.5333322
45,測速(兼闖紅燈),建國北路,農安街口,中山,北向南,50,25.0650625,121.5364735
46,測速,中華路1段,53號前,中正一,南向北,50,25.0430327,121.5087459
47,測速,仁愛路2段,(61號前右車道)臨沂街口,中正一,東向西,50,25.0382298,121.5301205
48,測速,市民大道(高架道),京站百貨前,中正一,西向東,80,25.0487884,121.5168455
49,測速,行義路,241號,北投,北向南,40,25.1348425,121.5287217
50,闖紅燈,中山南路,濟南路口,中正一,南向北,50,25.0429986,121.5188687
51,闖紅燈,金山南路,銅山街口,中正一,南向北,50,25.0392001,121.5287138
52,闖紅燈,中華路1段,貴陽路口,中正一,南向北,50,25.0389741,121.5074496
53,闖紅燈,中山南路,愛國西路口,中正一,北向南,50,25.0352496,121.5165429
54,闖紅燈,忠孝東路1段,林森南路口,中正一,東向西,50,25.0448203,121.5236714
55,測速,重慶南路3段,27巷口,中正二,南北雙向,50,25.028537,121.5155773
